Identifier,totalProfitPercent,7dUSDProfit,30dUSDProfit,winrate_7d,winrate_30d,tags,directLink
7YuoV4WTzs31QxVX8qwYP1r4JYKJZU3ghDc3jiVUAqBx,22.93%,"$46,222.83","$60,270.80",59.64%,61.90%,[],https://gmgn.ai/sol/address/7YuoV4WTzs31QxVX8qwYP1r4JYKJZU3ghDc3jiVUAqBx
7bVHvmJjYu5NdCLAYayKLzT2fpomyawUD4BKumSAGm8L,6.75%,"$1,029.43","$1,441.28",47.19%,45.86%,[],https://gmgn.ai/sol/address/7bVHvmJjYu5NdCLAYayKLzT2fpomyawUD4BKumSAGm8L
7xRj4sgzEfzGGM86G3v1ZY83rZYETcTcLLJvDx4qGQUn,8.93%,"$2,606.67","$-1,137.09",?,?,[],https://gmgn.ai/sol/address/7xRj4sgzEfzGGM86G3v1ZY83rZYETcTcLLJvDx4qGQUn
7vMSyPCrf5WekCCjaMzRFjjedS3HYdhhocoZuh3wvM8G,-35.23%,"$-3,813.21","$-3,813.21",41.67%,41.67%,[],https://gmgn.ai/sol/address/7vMSyPCrf5WekCCjaMzRFjjedS3HYdhhocoZuh3wvM8G
8DVWKDMGzQgf1P5Gwp1LYoCCgtLUDfe6pqZuWDSpLjc,-19.32%,$-67.81,"$-2,427.44",0.00%,12.50%,[],https://gmgn.ai/sol/address/8DVWKDMGzQgf1P5Gwp1LYoCCgtLUDfe6pqZuWDSpLjc
8TBh3JeSqS8TdLyASrkJjTvZS7MtayTdjqHqJuoFTpJS,75.00%,$-461.12,$-302.15,?,?,[],https://gmgn.ai/sol/address/8TBh3JeSqS8TdLyASrkJjTvZS7MtayTdjqHqJuoFTpJS
8ADtPFyNPuSa8B2oaQjuQ6MywMhNXUUEKWEsCV7Exf1s,3.82%,$383.38,"$3,521.86",?,?,[],https://gmgn.ai/sol/address/8ADtPFyNPuSa8B2oaQjuQ6MywMhNXUUEKWEsCV7Exf1s
8KtqgaLuc2EAC7tM8oEdXG73nxm6LpbPH5YFLA3UeSxc,81.18%,$421.87,$552.35,?,?,[],https://gmgn.ai/sol/address/8KtqgaLuc2EAC7tM8oEdXG73nxm6LpbPH5YFLA3UeSxc
89Xm5KBZceMnf1wuRwEhWqaPd9Dc5LgJfq9YmzBkT7Fs,10.51%,$-50.89,$904.00,50.00%,42.11%,[],https://gmgn.ai/sol/address/89Xm5KBZceMnf1wuRwEhWqaPd9Dc5LgJfq9YmzBkT7Fs
8VZec6dMJhsAh7iPkdUoDqPtge35yn22xibonAqAEhMZ,3.38%,"$14,755.09",$-601.85,19.75%,24.62%,[],https://gmgn.ai/sol/address/8VZec6dMJhsAh7iPkdUoDqPtge35yn22xibonAqAEhMZ
85CSEYtbwxHitUfQ2v5K2KREfTSGNn1cTgWxZ2KZjjFa,9.13%,$331.42,$893.07,?,?,[],https://gmgn.ai/sol/address/85CSEYtbwxHitUfQ2v5K2KREfTSGNn1cTgWxZ2KZjjFa
6ccydEM5havsh4UXijXxrcdeHJYaUR86W2rj1KB1uDgn,23.70%,"$4,081.84","$38,599.12",32.00%,34.48%,[],https://gmgn.ai/sol/address/6ccydEM5havsh4UXijXxrcdeHJYaUR86W2rj1KB1uDgn
8n729TZLW2JVe8HQ4QMAerLnNRtQ5hKTFtWe8nXZaK3o,-19.74%,"$-20,200.12","$-5,828.42",9.76%,16.92%,[],https://gmgn.ai/sol/address/8n729TZLW2JVe8HQ4QMAerLnNRtQ5hKTFtWe8nXZaK3o
8YTt3XhtTpRVafEXw4Pp7AhoiWwQzyjPjbhbqs8SnGSP,9.62%,"$1,882.83","$1,882.83",?,?,[],https://gmgn.ai/sol/address/8YTt3XhtTpRVafEXw4Pp7AhoiWwQzyjPjbhbqs8SnGSP
8gcvj3YYDGvZMQMHmWHwVcSF6GpLd62ySWJ793rwjnHU,10.54%,"$3,808.61","$3,808.61",53.54%,53.54%,['fresh_wallet'],https://gmgn.ai/sol/address/8gcvj3YYDGvZMQMHmWHwVcSF6GpLd62ySWJ793rwjnHU
8kyFEiyKBYGJsfM9AeMK8ogjxiW34tEca6LAsRde43Nr,6.17%,"$5,713.13","$5,766.66",?,?,[],https://gmgn.ai/sol/address/8kyFEiyKBYGJsfM9AeMK8ogjxiW34tEca6LAsRde43Nr
8bsspyfg7WG1rAEsVKPYvsXhjbEobYfgUGesyjATBdoG,-2.85%,"$-3,379.14","$-3,379.14",?,?,[],https://gmgn.ai/sol/address/8bsspyfg7WG1rAEsVKPYvsXhjbEobYfgUGesyjATBdoG
8iCX6cakhjEDaVqSRL1Ef1KRKa42GG7kCUzUXcwUF28U,30.23%,$919.35,$919.35,?,?,[],https://gmgn.ai/sol/address/8iCX6cakhjEDaVqSRL1Ef1KRKa42GG7kCUzUXcwUF28U
8vGrTdR2xfGxcTDExLRQWt6rnN7twHbaRFNpHDJfxv8d,-3.01%,"$-1,362.24",$-586.67,48.70%,49.61%,[],https://gmgn.ai/sol/address/8vGrTdR2xfGxcTDExLRQWt6rnN7twHbaRFNpHDJfxv8d
8uzbi8dmTyRGwtnwC8EHpvU1mSCp719tN4AhxzVN8GFB,118.13%,$545.97,"$2,538.29",?,?,[],https://gmgn.ai/sol/address/8uzbi8dmTyRGwtnwC8EHpvU1mSCp719tN4AhxzVN8GFB
8mwcvw2qkCTBAgA5PW7cxLuKtJVrSeqeyp6VMRymuk1A,21.35%,$-35.12,$-35.12,?,?,[],https://gmgn.ai/sol/address/8mwcvw2qkCTBAgA5PW7cxLuKtJVrSeqeyp6VMRymuk1A
8nRXUqGrY2jEJeWf3s4F9dipmDoBL5ajyVJA2UbhkqF9,-27.31%,$-111.62,$-183.49,25.00%,22.22%,[],https://gmgn.ai/sol/address/8nRXUqGrY2jEJeWf3s4F9dipmDoBL5ajyVJA2UbhkqF9
8yJFWmVTQq69p6VJxGwpzW7ii7c5J9GRAtHCNMMQPydj,10.50%,"$-364,738.31","$-209,589.53",49.65%,47.47%,[],https://gmgn.ai/sol/address/8yJFWmVTQq69p6VJxGwpzW7ii7c5J9GRAtHCNMMQPydj
8rmunJmpANSMGeNHV1tc8kUKJWAUrEXG7qz48qUrAS2j,4.31%,"$-12,885.69","$22,276.27",33.91%,32.76%,[],https://gmgn.ai/sol/address/8rmunJmpANSMGeNHV1tc8kUKJWAUrEXG7qz48qUrAS2j
929WSxMi72aALvpdKZLMhiG2LhgQKvwRC6nZm5jer24A,-2.94%,$-65.41,"$-1,144.26",49.40%,43.63%,[],https://gmgn.ai/sol/address/929WSxMi72aALvpdKZLMhiG2LhgQKvwRC6nZm5jer24A
92kpjJJUpBaHEJ9UuSKGpHzATGQ1xKieBwWpA41LXTLG,43.82%,"$8,109.73","$30,826.35",76.09%,77.27%,[],https://gmgn.ai/sol/address/92kpjJJUpBaHEJ9UuSKGpHzATGQ1xKieBwWpA41LXTLG
9CknxWE15Mn9XEDZ2gKCwXwbZdj455P1vf2rYheZynKd,102.81%,$752.67,$835.28,?,?,[],https://gmgn.ai/sol/address/9CknxWE15Mn9XEDZ2gKCwXwbZdj455P1vf2rYheZynKd
9DAZ8kBeTLkvz6qkughWWmThzhcoDg93v4dLASZyY4qf,9.76%,$718.14,$718.14,37.50%,37.50%,['fresh_wallet'],https://gmgn.ai/sol/address/9DAZ8kBeTLkvz6qkughWWmThzhcoDg93v4dLASZyY4qf
9GdF1qM2Te9XP9DTmcUwP8zzd4AyDMKdvAgNuak4HVVx,6.35%,$796.51,"$1,400.65",54.10%,58.54%,[],https://gmgn.ai/sol/address/9GdF1qM2Te9XP9DTmcUwP8zzd4AyDMKdvAgNuak4HVVx
9P1zMmo23FLkngRiTpLwUN3TbTkvdYdEM8FxnoVghxGY,-7.29%,$7.63,$-49.97,39.47%,35.34%,[],https://gmgn.ai/sol/address/9P1zMmo23FLkngRiTpLwUN3TbTkvdYdEM8FxnoVghxGY
9HAq6z8DgrRkGw969kUSVtzPfg72SoqhgvUipiacEDzX,-2.07%,$377.24,$766.42,?,?,[],https://gmgn.ai/sol/address/9HAq6z8DgrRkGw969kUSVtzPfg72SoqhgvUipiacEDzX
9P99mWACV7FJ1STzCTobZ1b9cnhDr5htY1phTH5twKf4,-18.40%,"$-23,270.91","$-66,309.45",13.23%,14.32%,[],https://gmgn.ai/sol/address/9P99mWACV7FJ1STzCTobZ1b9cnhDr5htY1phTH5twKf4
9ddnWRt1FhPXXZ2VUKLSCCrK6iSQz6p4RHaGa76Faszq,89.74%,"$3,609.89","$3,609.89",50.00%,50.00%,[],https://gmgn.ai/sol/address/9ddnWRt1FhPXXZ2VUKLSCCrK6iSQz6p4RHaGa76Faszq
9aSNk62TZAqsXB6bwhakzFaqK1wr4M8MtJnaNU53hKbL,-13.86%,$71.99,$299.67,?,?,[],https://gmgn.ai/sol/address/9aSNk62TZAqsXB6bwhakzFaqK1wr4M8MtJnaNU53hKbL
9dJig248asYqyvzVzFwJ91oRtwyyubK3qXCfKheq13d2,24.35%,"$23,023.12","$95,141.99",77.16%,78.80%,[],https://gmgn.ai/sol/address/9dJig248asYqyvzVzFwJ91oRtwyyubK3qXCfKheq13d2
9ucZxLkYTSeEEZFQwJmwebSWrRvA6johq1FmhGdHVH8U,18.77%,$959.08,"$2,059.33",?,?,[],https://gmgn.ai/sol/address/9ucZxLkYTSeEEZFQwJmwebSWrRvA6johq1FmhGdHVH8U
9yxEQsmpYZWBhWXFUcpAMguUzNDxg3nUBQEcmNSrakDf,2.05%,"$-25,435.05","$266,458.85",80.09%,84.75%,[],https://gmgn.ai/sol/address/9yxEQsmpYZWBhWXFUcpAMguUzNDxg3nUBQEcmNSrakDf
A7iXrAtKzh8DZNpdcV1oNiiHJNe8JN3bMqCz6N1Lc7WK,14.49%,"$1,275.21","$1,275.21",?,?,[],https://gmgn.ai/sol/address/A7iXrAtKzh8DZNpdcV1oNiiHJNe8JN3bMqCz6N1Lc7WK
A6Q1g56bmehrNsJmX3A8yz4M2afiVnKmQGduGooEDp6F,15.08%,"$1,686.02","$1,686.02",84.00%,84.00%,['fresh_wallet'],https://gmgn.ai/sol/address/A6Q1g56bmehrNsJmX3A8yz4M2afiVnKmQGduGooEDp6F
AA6tamNAcBKrUacb5Q9hVQfFDeSKJGBTeXkN4EWL43kD,11.42%,"$4,035.36","$15,817.47",44.35%,48.85%,[],https://gmgn.ai/sol/address/AA6tamNAcBKrUacb5Q9hVQfFDeSKJGBTeXkN4EWL43kD
AAWrpdJG9ykAFpyPUSq7wdWrfbVy6kbRvGM4JCm2rp62,-3.28%,"$-3,635.85","$-7,169.10",?,?,[],https://gmgn.ai/sol/address/AAWrpdJG9ykAFpyPUSq7wdWrfbVy6kbRvGM4JCm2rp62
AJKgkQyHQBMK8MVkoKfp7qZo3VUMLiLszZV2WM9BhJgF,45.36%,"$97,270.07","$198,046.85",74.26%,58.58%,[],https://gmgn.ai/sol/address/AJKgkQyHQBMK8MVkoKfp7qZo3VUMLiLszZV2WM9BhJgF
9NBWkJyWzyv96cVJdUDnJ73oVdS3davnZaAct2W87Tes,9.12%,"$1,966.79","$2,047.20",?,?,[],https://gmgn.ai/sol/address/9NBWkJyWzyv96cVJdUDnJ73oVdS3davnZaAct2W87Tes
AJjRJZmDK6LfenjQmYw4pi7puFvNfM67CxZBaDy9qWhk,-1.91%,$-455.11,"$-2,060.67",?,?,[],https://gmgn.ai/sol/address/AJjRJZmDK6LfenjQmYw4pi7puFvNfM67CxZBaDy9qWhk
AaHBhDenGHYnUFKotpHfkCN7fKrHbxMoQHBZg5ygKLcP,8.22%,"$26,635.97","$79,432.20",78.22%,78.75%,[],https://gmgn.ai/sol/address/AaHBhDenGHYnUFKotpHfkCN7fKrHbxMoQHBZg5ygKLcP
ARSCiocqpiT1QH9TEH2wHHpM5Nf9977hokipkYHGKRk4,1.91%,"$13,986.60","$118,700.63",99.83%,99.96%,[],https://gmgn.ai/sol/address/ARSCiocqpiT1QH9TEH2wHHpM5Nf9977hokipkYHGKRk4
AVU3RzUe6ayhvV9YVq1DpY4rfrwuec6CHVHhc1QB4MUv,7.86%,$-92.79,$-506.04,?,?,[],https://gmgn.ai/sol/address/AVU3RzUe6ayhvV9YVq1DpY4rfrwuec6CHVHhc1QB4MUv
ARSCioFRcxZcMf29PnHxJ1mhcDiv1rbGBVkFFmhr111f,1.56%,"$19,978.84","$115,261.77",99.84%,99.96%,[],https://gmgn.ai/sol/address/ARSCioFRcxZcMf29PnHxJ1mhcDiv1rbGBVkFFmhr111f
ASgit1viCcskiYtTtyNs8dPS31mr4VgU9efRDMp3FMQH,22.13%,"$111,956.32","$816,822.70",60.82%,60.57%,[],https://gmgn.ai/sol/address/ASgit1viCcskiYtTtyNs8dPS31mr4VgU9efRDMp3FMQH
ASGnPCdAKV163bLy3ZAfG65EDhXZ1mLPEKY13uYkaBdd,13.21%,"$-19,541.21","$10,165.38",17.39%,19.01%,[],https://gmgn.ai/sol/address/ASGnPCdAKV163bLy3ZAfG65EDhXZ1mLPEKY13uYkaBdd
AhuNyBv2fBdWhiF3eXR4LrjtShrLFpLgD4xHw7t3fE99,13.77%,"$1,146.90","$11,470.75",54.00%,55.75%,[],https://gmgn.ai/sol/address/AhuNyBv2fBdWhiF3eXR4LrjtShrLFpLgD4xHw7t3fE99
9zRAWAuq1NWZxPLrvB9v2RmsSGQ9XLKJN4JhLr2c1Lrs,10.71%,"$1,309.35",$-650.42,?,?,[],https://gmgn.ai/sol/address/9zRAWAuq1NWZxPLrvB9v2RmsSGQ9XLKJN4JhLr2c1Lrs
AySFLebQChAkbx9HfSoRh6ryDxBUQF68kjGb3HGx6xWN,31.77%,$-893.48,"$-4,189.65",71.43%,48.62%,[],https://gmgn.ai/sol/address/AySFLebQChAkbx9HfSoRh6ryDxBUQF68kjGb3HGx6xWN
Aye3L6xiZhNkyxVw9MZJauj5dMDs38bRfZB1P9S17jQn,-0.75%,$61.98,$61.98,46.86%,46.86%,[],https://gmgn.ai/sol/address/Aye3L6xiZhNkyxVw9MZJauj5dMDs38bRfZB1P9S17jQn
AfDN2j8o6huhw4bytq4HfhgeMrruP8zXuXs9VxEVMjt3,10.69%,$-338.43,$897.17,22.22%,44.19%,[],https://gmgn.ai/sol/address/AfDN2j8o6huhw4bytq4HfhgeMrruP8zXuXs9VxEVMjt3
B55yN7Be47Y9XLA5tmrvTbErxfj8cGFQ7c3GSWXD5fav,-15.07%,$-28.66,$-28.66,?,?,[],https://gmgn.ai/sol/address/B55yN7Be47Y9XLA5tmrvTbErxfj8cGFQ7c3GSWXD5fav
BQGLQEN1D1fBSsiS7pvH9HY346jWnVFudwLBP9mqXkFf,-7.49%,$-29.06,$-123.59,?,54.00%,[],https://gmgn.ai/sol/address/BQGLQEN1D1fBSsiS7pvH9HY346jWnVFudwLBP9mqXkFf
BNHsrnuv72vo91szVHnahB2eGYXPMcxWdFyPC4Xge4Fk,9.10%,"$6,816.21","$23,527.76",36.08%,38.45%,[],https://gmgn.ai/sol/address/BNHsrnuv72vo91szVHnahB2eGYXPMcxWdFyPC4Xge4Fk
BW9vfYG3Q3FJhjaFmYX2bHFAUNSxtKKNe5bfuK7wiEPY,-11.14%,"$-1,088.87","$-1,088.87",?,?,[],https://gmgn.ai/sol/address/BW9vfYG3Q3FJhjaFmYX2bHFAUNSxtKKNe5bfuK7wiEPY
ANLgY34LstsMGAmL9Xz69CZMQBu2DGJ3pE1dHjg7UcWE,-32.13%,"$-138,610.76","$-190,740.48",12.58%,13.10%,[],https://gmgn.ai/sol/address/ANLgY34LstsMGAmL9Xz69CZMQBu2DGJ3pE1dHjg7UcWE
BNHVhAEMyNmbnuVmgwvu8F52YJtW6exXx17HsyJ7TmPR,10.27%,$330.37,$-28.56,?,?,[],https://gmgn.ai/sol/address/BNHVhAEMyNmbnuVmgwvu8F52YJtW6exXx17HsyJ7TmPR
AwGURw1XAXv3HEiaHA3uWoJmA7DFivToKkh992AhHyD5,8.66%,$-480.81,"$8,833.51",33.33%,48.76%,[],https://gmgn.ai/sol/address/AwGURw1XAXv3HEiaHA3uWoJmA7DFivToKkh992AhHyD5
BkvD8RKQCGYU82gyUhxLepXXopQNXA1oxt5GZ3kMhrY6,3.38%,$51.91,$51.91,?,?,[],https://gmgn.ai/sol/address/BkvD8RKQCGYU82gyUhxLepXXopQNXA1oxt5GZ3kMhrY6
BnfTf63hEMkB6ijkLA5dup97FWT7PKkCphNXS2Wf1F5p,8.19%,"$9,975.18","$13,968.53",?,?,[],https://gmgn.ai/sol/address/BnfTf63hEMkB6ijkLA5dup97FWT7PKkCphNXS2Wf1F5p
BsvaVaVxvgu3mN2C75FD2rrmMsRjHoyP1r1p5Lsz1Tqy,3.10%,"$2,243.52",$897.97,35.57%,34.94%,[],https://gmgn.ai/sol/address/BsvaVaVxvgu3mN2C75FD2rrmMsRjHoyP1r1p5Lsz1Tqy
BXayXuG9AbwR8UzotxsD793VmwCpxop7wdC9yHA4QGN8,8.26%,"$2,282.84","$13,885.12",?,?,[],https://gmgn.ai/sol/address/BXayXuG9AbwR8UzotxsD793VmwCpxop7wdC9yHA4QGN8
CDxWMRLGProgh2QDzQJfvPvK6RMfsQKUtCgoZNry4zP9,1.92%,$495.86,$495.86,48.00%,48.00%,[],https://gmgn.ai/sol/address/CDxWMRLGProgh2QDzQJfvPvK6RMfsQKUtCgoZNry4zP9
CHmCJobohTFU4UjzXxKjwFGNggyAgE698PynuZoojsJB,-3.28%,$-414.59,$-414.59,?,?,[],https://gmgn.ai/sol/address/CHmCJobohTFU4UjzXxKjwFGNggyAgE698PynuZoojsJB
C8DuRsMPznUbK8Y9zUrjMHkreodEwfQLgAjQohnxcFyo,7.66%,"$9,556.59","$28,511.88",?,?,[],https://gmgn.ai/sol/address/C8DuRsMPznUbK8Y9zUrjMHkreodEwfQLgAjQohnxcFyo
CNzU5mZ5ggGUSsQrmUnQWQ9DHGahJLRNggcHuYBJ3YhC,-1.79%,$107.70,$100.74,?,?,[],https://gmgn.ai/sol/address/CNzU5mZ5ggGUSsQrmUnQWQ9DHGahJLRNggcHuYBJ3YhC
CCqSGighjg1D2T7HqSZtGRUJZL42rPHjedGNM93LvvSn,11.15%,"$2,417.03","$4,516.21",?,?,[],https://gmgn.ai/sol/address/CCqSGighjg1D2T7HqSZtGRUJZL42rPHjedGNM93LvvSn
CXQGKGi2GCQoTrmXTbdaq1CuhWvYyoJw7YA3LuhFuJBc,16.68%,"$3,880.38","$11,913.82",?,?,[],https://gmgn.ai/sol/address/CXQGKGi2GCQoTrmXTbdaq1CuhWvYyoJw7YA3LuhFuJBc
BvudWPdUxU2Fiw9b9qkTTD5Lw8FNfrv9fw1mZ1KFHApS,22.03%,$622.59,"$6,236.25",30.51%,34.78%,[],https://gmgn.ai/sol/address/BvudWPdUxU2Fiw9b9qkTTD5Lw8FNfrv9fw1mZ1KFHApS
CwVapYzyiqSNNYzhcftRVBYVVPwLYzm6R3oFinPzjrz8,-1.25%,$-17.71,$-17.71,?,?,[],https://gmgn.ai/sol/address/CwVapYzyiqSNNYzhcftRVBYVVPwLYzm6R3oFinPzjrz8
CeZyGKRDwGXTg2U5xYgK3mLM2k3idS4iY1LT6WYqDc4q,14.63%,"$1,419.34","$4,006.34",57.89%,45.54%,[],https://gmgn.ai/sol/address/CeZyGKRDwGXTg2U5xYgK3mLM2k3idS4iY1LT6WYqDc4q
Cdi6sZmBJybvujUPg5STqvqxR96wG9EU7F57FYjuRxuc,7.95%,$-290.81,$110.80,?,?,[],https://gmgn.ai/sol/address/Cdi6sZmBJybvujUPg5STqvqxR96wG9EU7F57FYjuRxuc
CybDWKCL74tP658zpHfUYyRoiUJgvYseS8x3j2Fqdy3T,1.20%,$-869.90,"$-1,492.06",?,?,[],https://gmgn.ai/sol/address/CybDWKCL74tP658zpHfUYyRoiUJgvYseS8x3j2Fqdy3T
CkAbhqy8YGAuNM9wFCGfzw9vkWDocAB7XV4PQZbqv2eQ,5.10%,"$8,295.31","$26,324.30",48.75%,49.40%,[],https://gmgn.ai/sol/address/CkAbhqy8YGAuNM9wFCGfzw9vkWDocAB7XV4PQZbqv2eQ
CwRPc8LZqAQxEkxRUMqnUrTTf2wgcPCkbEdcTFvLd5eD,-4.42%,"$-1,476.91","$-1,476.91",31.16%,31.16%,[],https://gmgn.ai/sol/address/CwRPc8LZqAQxEkxRUMqnUrTTf2wgcPCkbEdcTFvLd5eD
D8Un2AKYrscQ2EASqqVz73aQSsvEtxVp5KtQPJVBiMrf,-10.46%,$-725.39,"$-1,969.45",?,?,[],https://gmgn.ai/sol/address/D8Un2AKYrscQ2EASqqVz73aQSsvEtxVp5KtQPJVBiMrf
DCLSQphN6AbBfoaNgNfrrEBe8yKD3fhEpES3k6TmmtGK,17.22%,"$3,710.01","$4,766.95",?,?,[],https://gmgn.ai/sol/address/DCLSQphN6AbBfoaNgNfrrEBe8yKD3fhEpES3k6TmmtGK
D7eUAKKTRZKPwJf6mDAhste8MwZYJvQ9jtkxeH5MxZxj,11.98%,"$2,338.42","$29,826.89",43.75%,47.73%,[],https://gmgn.ai/sol/address/D7eUAKKTRZKPwJf6mDAhste8MwZYJvQ9jtkxeH5MxZxj
D3BAVPd5YJzhFGEjZNLfEhsADHf23mjntTj3Egc3j6aM,-0.94%,$217.57,$85.50,28.57%,28.00%,[],https://gmgn.ai/sol/address/D3BAVPd5YJzhFGEjZNLfEhsADHf23mjntTj3Egc3j6aM
DEC53FLXx1Dp9Yx9WZTgb8cmkYfKs2gxDWy6rBkzDFhF,9.15%,$202.07,$50.47,?,?,[],https://gmgn.ai/sol/address/DEC53FLXx1Dp9Yx9WZTgb8cmkYfKs2gxDWy6rBkzDFhF
DG9P3KEU6PjPB3JmuCiNh1Lp5KrGfXGgEJdJyS9eSkdz,8.03%,$-36.33,$-86.21,?,?,[],https://gmgn.ai/sol/address/DG9P3KEU6PjPB3JmuCiNh1Lp5KrGfXGgEJdJyS9eSkdz
CM8CdfmpBej77GDURijDm3pyfx7CbHCgCp69hnVTZFbm,-59.57%,$-402.69,$-402.69,?,?,[],https://gmgn.ai/sol/address/CM8CdfmpBej77GDURijDm3pyfx7CbHCgCp69hnVTZFbm
DGBCGcaKFzMJKbXHtoCK8oh2kYgnrunRMuh4cbXMjSoh,11.71%,"$8,982.66","$20,054.54",?,?,[],https://gmgn.ai/sol/address/DGBCGcaKFzMJKbXHtoCK8oh2kYgnrunRMuh4cbXMjSoh
CSny89mZb8JCHoWSuLRvykZnJZyWTNKYNxvpqLBT5nPD,-2.61%,"$-1,539.03","$-4,187.25",24.11%,27.26%,[],https://gmgn.ai/sol/address/CSny89mZb8JCHoWSuLRvykZnJZyWTNKYNxvpqLBT5nPD
DU7bXDcDfGMqyp2zXmmzXvBRKssXcw4639p79WziEahv,24.70%,"$10,414.47","$13,990.42",?,?,[],https://gmgn.ai/sol/address/DU7bXDcDfGMqyp2zXmmzXvBRKssXcw4639p79WziEahv
DbT9xdKUD7jghNDmvhfmiCxenhusbAMzR5PKdx2qk4Cx,11.12%,"$12,012.80","$41,510.49",50.48%,45.97%,[],https://gmgn.ai/sol/address/DbT9xdKUD7jghNDmvhfmiCxenhusbAMzR5PKdx2qk4Cx
DWNPQnzsMDM6UX6HdrL4QisUtEKvLGJeHUM792fddWrC,8.45%,"$8,988.94","$8,158.51",31.91%,31.49%,[],https://gmgn.ai/sol/address/DWNPQnzsMDM6UX6HdrL4QisUtEKvLGJeHUM792fddWrC
DPe3WHyebypaX3BbrrgdHkSJGgbdYmMRnqztMPXYXM2W,5.34%,"$1,587.78","$5,800.55",38.07%,36.13%,[],https://gmgn.ai/sol/address/DPe3WHyebypaX3BbrrgdHkSJGgbdYmMRnqztMPXYXM2W
DcrVHkdQEaJMXggEnWpve6L5HAYMtvFhBeBoDiS74i1Q,-9.03%,$-44.15,$-44.15,?,?,[],https://gmgn.ai/sol/address/DcrVHkdQEaJMXggEnWpve6L5HAYMtvFhBeBoDiS74i1Q
DUdwnqLGgcEBGET26kFhAhDSyt5oM8rmEvFrAsjj1XrD,-9.30%,$-762.40,$-762.40,?,?,[],https://gmgn.ai/sol/address/DUdwnqLGgcEBGET26kFhAhDSyt5oM8rmEvFrAsjj1XrD
DcSADK6LD4fqKy3WsMEjn6F6ot1EJMbaF1Pi32NrE3iC,4.79%,$106.47,"$1,809.63",?,?,[],https://gmgn.ai/sol/address/DcSADK6LD4fqKy3WsMEjn6F6ot1EJMbaF1Pi32NrE3iC
DLuV8rghqwUD4mRWBdE7yooCWyLcek76wcrmHc66xLmG,8.38%,"$-3,546.82","$38,613.96",10.89%,12.62%,[],https://gmgn.ai/sol/address/DLuV8rghqwUD4mRWBdE7yooCWyLcek76wcrmHc66xLmG
DSBSVx7xG9PHqGoNvh7HrudJmpRyu9zyjCmH7FYbsk1F,-3.12%,"$-1,114.25","$-1,588.72",?,?,[],https://gmgn.ai/sol/address/DSBSVx7xG9PHqGoNvh7HrudJmpRyu9zyjCmH7FYbsk1F
DdGWAMpYGU2fB2wPKzKrQrPy9fEE6uMUBFomHmz54cJq,5.80%,"$3,134.28","$2,506.26",37.50%,35.29%,[],https://gmgn.ai/sol/address/DdGWAMpYGU2fB2wPKzKrQrPy9fEE6uMUBFomHmz54cJq
Dc9F3Fz3HtzStS47BySBab5KqWagoo9kevEAfUy9ErT2,472.71%,"$1,869.36","$1,869.36",?,?,[],https://gmgn.ai/sol/address/Dc9F3Fz3HtzStS47BySBab5KqWagoo9kevEAfUy9ErT2
DeQnh3zySGc3gtxBRJ1XP8VbKiTPXUexa2A37XKbLLNB,0.40%,$568.08,$568.08,?,?,[],https://gmgn.ai/sol/address/DeQnh3zySGc3gtxBRJ1XP8VbKiTPXUexa2A37XKbLLNB
DfhbabreNsifkLMz8gaKTWp7kVooqFJdNruDEunzdeQ7,-24.04%,"$-19,118.56","$-22,027.72",31.03%,30.30%,[],https://gmgn.ai/sol/address/DfhbabreNsifkLMz8gaKTWp7kVooqFJdNruDEunzdeQ7
DepkktFF3dx3tvXXNButWYCWCSGEzLqGcCbvMR1udsyq,519.07%,$235.40,$235.40,?,?,[],https://gmgn.ai/sol/address/DepkktFF3dx3tvXXNButWYCWCSGEzLqGcCbvMR1udsyq
DreqwL6A5H15KyskSvEBJEKsUfgg9CVaw5f49APrkhtn,-2.26%,$-24.46,$-353.71,20.00%,23.81%,[],https://gmgn.ai/sol/address/DreqwL6A5H15KyskSvEBJEKsUfgg9CVaw5f49APrkhtn
DtmjXJcg3NHRMKWgHNMbh1fJECVBaBDTDmH8wWCZRLzH,-7.04%,$-69.84,$-69.84,52.38%,52.38%,[],https://gmgn.ai/sol/address/DtmjXJcg3NHRMKWgHNMbh1fJECVBaBDTDmH8wWCZRLzH
E566Q554EhVNs9GZFecVvFMUVDhLN42eTqZSzZRJ4UAr,-0.80%,$-376.36,$-376.36,?,?,[],https://gmgn.ai/sol/address/E566Q554EhVNs9GZFecVvFMUVDhLN42eTqZSzZRJ4UAr
E8TLi4H5vY6R88gjWWNrYQjncBXavvNFWuksSxYxEbNn,23.69%,$371.85,"$2,021.64",94.74%,89.66%,[],https://gmgn.ai/sol/address/E8TLi4H5vY6R88gjWWNrYQjncBXavvNFWuksSxYxEbNn
DuosnydFkjpatiKc3y2Q8aVBb7rD4hEcdmPX5sHs9gG7,16.18%,"$2,071.28","$6,114.78",?,?,[],https://gmgn.ai/sol/address/DuosnydFkjpatiKc3y2Q8aVBb7rD4hEcdmPX5sHs9gG7
DkTX2fCYjgFnku6BqvGheBJyXJcXNkG55NHhZk4YGE7w,2.44%,$-671.48,$-951.09,37.18%,33.17%,[],https://gmgn.ai/sol/address/DkTX2fCYjgFnku6BqvGheBJyXJcXNkG55NHhZk4YGE7w
